Week Num,Location,Set,Bottle,Date,Time,Sample Type,F (mg/L),CL (mg/L),NO2 (mg/L),NO3 (mg/L),SO4 (mg/L),SIO2 (mg/L),NH3 (mg/L),SRP (mg/L),TP (mg/L),TKN (mg/L),SS (mg/L),NPOC (mg/L),TN (mg/L),COND (mჾ)
7,MBG,RG,1,11/07/22,1200,SAMPLE,0.5,63.1,0.27,0,83,0.1151,0.189,0.0052,0.1569,1.301,37.01,-9,-9,-9
7,MBG,RG,4,11/08/22,1200,SAMPLE,0.51,64.8,0.3,0,84.9,0.1926,0.1931,0.0048,0.1297,1.192,27.23,-9,-9,-9
7,MBG,RG,7,11/09/22,1200,SAMPLE,0.52,67.2,0.3,0,86.4,-0.0521,0.1665,0.0028,0.1122,1.213,15.14,-9,-9,-9
7,MBG,RG,10,11/10/22,1200,SAMPLE,0.4,73.3,0.36,0,91.2,0.167,0.1704,0.0028,0.1213,1.231,17.96,-9,-9,-9
7,MBG,RG,13,11/11/22,1200,SAMPLE,0.04,72.5,0.34,0,89.4,0.1479,0.1119,0.0011,0.1241,1.207,15.47,-9,-9,-9
7,MBG,RG,16,11/12/22,1200,SAMPLE,0.39,75.3,0.37,0,90.3,0.0349,0.0966,0.0006,0.1176,1.315,20.65,-9,-9,-9
7,MBG,RG,19,11/13/22,1200,SAMPLE,0.39,75.1,0.35,0,89.6,0.0223,0.0629,0.0007,0.1083,1.277,16.64,-9,-9,-9
7,MBG,RG,24,11/14/22,0920,BOTH,0.4,79.5,0.37,0,94,0.0735,0.0736,0.0008,0.0987,1.202,12.93,-9,-9,-9
9,MBG,RW,1,11/14/22,1200,SAMPLE,0.4,77.4,0.32,0,86.2,-9,0.1624,-0.0006,0.1086,1.198,23.07,-9,-9,-9
9,MBG,RW,2,11/15/22,1200,SAMPLE,0.4,78.4,0.3,0,88.5,-9,0.1549,-0.0004,0.0885,1.019,14.69,-9,-9,-9
9,MBG,RW,3,11/16/22,1200,SAMPLE,0.41,81.1,0.3,0,91.9,-9,0.1031,-0.0024,0.0829,1.036,15.12,-9,-9,-9
9,MBG,RW,4,11/17/22,1200,SAMPLE,0.42,84.4,0.33,0,97.6,-9,0.1147,-0.0017,0.0806,1.011,13.76,-9,-9,-9
9,MBG,RW,5,11/18/22,1200,SAMPLE,0.42,86.2,0.32,0,98.6,-9,0.0932,-0.0027,0.0822,0.915,15.63,-9,-9,-9
9,MBG,RW,6,11/19/22,1200,SAMPLE,0.42,87.5,0.32,0,101.2,-9,0.1014,-0.0026,0.1287,1.154,45,-9,-9,-9
9,MBG,RW,7,11/20/22,1200,SAMPLE,0.42,84.6,0.3,0,99.7,-9,0.0624,-0.0027,0.0719,0.952,18.31,-9,-9,-9
9,MBG,RW,8,11/21/22,1200,SAMPLE,0.43,87.6,0.33,0,102.7,-9,0.064,-0.0028,0.0755,0.919,12.5,-9,-9,-9
9,MBG,RW,9,11/22/22,1200,SAMPLE,0.44,88,0.31,0,104.2,-9,0.0613,-0.0025,0.0691,0.942,9.45,-9,-9,-9
9,MBG,RW,10,11/23/22,1200,SAMPLE,0.43,84.6,0.31,0,103.2,-9,0.0534,-0.0035,0.0662,0.825,8.45,-9,-9,-9
9,MBG,RW,11,11/24/22,1200,SAMPLE,0.44,84.1,0.3,0,102.9,-9,0.0708,0.0003,0.0639,0.852,9.27,-9,-9,-9
