Date,pcp_maumee(mm/day),pcp_maumee(mm/mon)
1940-01,1.8714656829833984,58.01543617248535
1940-02,2.4655940532684326,71.50222754478455
1940-03,2.493757486343384,77.3064820766449
1940-04,3.3203611373901367,99.6108341217041
1940-05,3.21946120262146,99.80329728126526
1940-06,3.4506943225860596,103.52082967758179
1940-07,0.5549305081367493,17.202845752239227
1940-08,2.995760679244995,92.86858105659485
1940-09,1.1016275882720947,33.04882764816284
1940-10,1.3944131135940552,43.22680652141571
1940-11,2.463627815246582,73.90883445739746
1940-12,2.739345073699951,84.91969728469849
1941-01,1.954404354095459,60.58653497695923
1941-02,0.8209772109985352,22.987361907958984
1941-03,1.0766135454177856,33.375019907951355
1941-04,1.5751601457595825,47.254804372787476
1941-05,3.1542418003082275,97.78149580955505
1941-06,3.6672801971435547,110.01840591430664
1941-07,1.246091604232788,38.62883973121643
1941-08,1.600154995918274,49.60480487346649
1941-09,1.1767542362213135,35.302627086639404
1941-10,3.656710147857666,113.35801458358765
1941-11,2.94891357421875,88.4674072265625
1941-12,1.9549158811569214,60.60239231586456
1942-01,2.008572816848755,62.2657573223114
1942-02,2.943746328353882,82.42489719390869
1942-03,3.009498357772827,93.29444909095764
1942-04,2.6426150798797607,79.27845239639282
1942-05,2.761323928833008,85.60104179382324
1942-06,2.9867498874664307,89.60249662399292
1942-07,2.2857649326324463,70.85871291160583
1942-08,1.403062343597412,43.494932651519775
1942-09,1.8390995264053345,55.172985792160034
1942-10,1.2659327983856201,39.243916749954224
1942-11,3.2845230102539062,98.53569030761719
1942-12,3.0609335899353027,94.88894128799438
1943-01,1.6013779640197754,49.64271688461304
1943-02,1.5298818349838257,42.83669137954712
1943-03,2.2221031188964844,68.88519668579102
1943-04,2.4443306922912598,73.3299207687378
1943-05,6.424505710601807,199.159677028656
1943-06,2.0001134872436523,60.00340461730957
1943-07,2.574122667312622,79.79780268669128
1943-08,2.887174606323242,89.50241279602051
1943-09,1.9129198789596558,57.38759636878967
1943-10,1.3302994966506958,41.23928439617157
1943-11,1.5242024660110474,45.72607398033142
1943-12,0.5189191102981567,16.08649241924286
1944-01,0.8692705631256104,26.94738745689392
1944-02,2.6819519996643066,77.77660799026489
1944-03,3.058502435684204,94.81357550621033
1944-04,4.3998026847839355,131.99408054351807
1944-05,3.4127533435821533,105.79535365104675
1944-06,3.041189432144165,91.23568296432495
1944-07,1.4645367860794067,45.40064036846161
1944-08,2.635715961456299,81.70719480514526
1944-09,1.4219151735305786,42.65745520591736
1944-10,1.102658748626709,34.18242120742798
1944-11,2.560009241104126,76.80027723312378
1944-12,1.3883707523345947,43.03949332237244
1945-01,0.9390628933906555,29.11094969511032
1945-02,2.6093220710754395,73.0610179901123
1945-03,6.1806511878967285,191.60018682479858
1945-04,3.146007776260376,94.38023328781128
1945-05,4.60054874420166,142.61701107025146
1945-06,4.389612197875977,131.6883659362793
1945-07,1.7087070941925049,52.96991991996765
1945-08,1.3671728372573853,42.38235795497894
1945-09,3.630617141723633,108.91851425170898
1945-10,2.5250027179718018,78.27508425712585
1945-11,2.334010124206543,70.02030372619629
1945-12,2.529709815979004,78.42100429534912
1946-01,1.60470449924469,49.74583947658539
1946-02,2.9629874229431152,82.96364784240723
1946-03,3.1946401596069336,99.03384494781494
1946-04,1.2627936601638794,37.88380980491638
1946-05,4.634737968444824,143.67687702178955
1946-06,3.800715208053589,114.02145624160767
1946-07,1.2238309383392334,37.938759088516235
1946-08,1.5589680671691895,48.32801008224487
1946-09,0.8489891290664673,25.46967387199402
1946-10,2.136497974395752,66.23143720626831
1946-11,2.549516201019287,76.48548603057861
1946-12,3.2015483379364014,99.24799847602844
1947-01,3.7585792541503906,116.51595687866211
1947-02,0.5566074252128601,15.585007905960083
1947-03,2.7180728912353516,84.2602596282959
1947-04,5.346597194671631,160.39791584014893
1947-05,3.6975600719451904,114.6243622303009
1947-06,3.9233531951904297,117.70059585571289
1947-07,1.982742428779602,61.465015292167664
1947-08,1.3037796020507812,40.41716766357422
1947-09,2.792426824569702,83.77280473709106
1947-10,2.35101580619812,72.88148999214172
1947-11,1.629646897315979,48.88940691947937
1947-12,1.7534644603729248,54.35739827156067
1948-01,1.8569148778915405,57.564361214637756
1948-02,2.479741334915161,71.91249871253967
1948-03,4.23912239074707,131.41279411315918
1948-04,3.87825608253479,116.3476824760437
1948-05,3.116929531097412,96.62481546401978
1948-06,3.9942665100097656,119.82799530029297
1948-07,2.276711940765381,70.5780701637268
1948-08,1.6422125101089478,50.90858781337738
1948-09,2.50929594039917,75.2788782119751
1948-10,1.8328462839126587,56.81823480129242
1948-11,5.054326057434082,151.62978172302246
1948-12,3.5174431800842285,109.04073858261108
1949-01,3.798520565032959,117.75413751602173
1949-02,2.7204341888427734,76.17215728759766
1949-03,2.4884066581726074,77.14060640335083
1949-04,2.6740474700927734,80.2214241027832
1949-05,3.5907673835754395,111.31378889083862
1949-06,4.232956409454346,126.98869228363037
1949-07,2.984623908996582,92.52334117889404
1949-08,2.2711384296417236,70.40529131889343
1949-09,1.9200456142425537,57.60136842727661
1949-10,2.3247032165527344,72.06579971313477
1949-11,1.19678795337677,35.9036386013031
1949-12,4.297947883605957,133.23638439178467
1950-01,7.596487045288086,235.49109840393066
1950-02,4.91594123840332,137.64635467529297
1950-03,2.2078592777252197,68.44363760948181
1950-04,5.375993728637695,161.27981185913086
1950-05,1.4213515520095825,44.06189811229706
1950-06,4.605816841125488,138.17450523376465
1950-07,2.5175974369049072,78.04552054405212
1950-08,1.7733508348464966,54.973875880241394
1950-09,3.3759725093841553,101.27917528152466
1950-10,2.6030614376068115,80.69490456581116
1950-11,4.463286876678467,133.898606300354
1950-12,2.4792683124542236,76.85731768608093
1951-01,2.8164453506469727,87.30980587005615
1951-02,3.2981512546539307,92.34823513031006
1951-03,3.0694761276245117,95.15375995635986
1951-04,3.206575870513916,96.19727611541748
1951-05,2.9939968585968018,92.81390261650085
1951-06,3.250321388244629,97.50964164733887
1951-07,1.8396580219268799,57.029398679733276
1951-08,1.8890882730484009,58.56173646450043
1951-09,2.384938955307007,71.5481686592102
1951-10,3.330929756164551,103.25882244110107
1951-11,2.2752349376678467,68.2570481300354
1951-12,3.7205278873443604,115.33636450767517
1952-01,3.071070432662964,95.20318341255188
1952-02,1.9492238759994507,56.52749240398407
1952-03,4.439040184020996,137.61024570465088
1952-04,3.6996495723724365,110.9894871711731
1952-05,3.7916688919067383,117.54173564910889
1952-06,2.388695001602173,71.66085004806519
1952-07,1.3552007675170898,42.011223793029785
1952-08,2.4553756713867188,76.11664581298828
1952-09,2.0734190940856934,62.2025728225708
